"Table 8: Age-specific percentages of health status, by IMD, by sex and age in England, 2021 [Notes 1 to 11]",,,,,,,,,,,,,
"Census 2021, England",,,,,,,,,,,,,
This worksheet contains one table,,,,,,,,,,,,,
Back to contents (this text contains a link),,,,,,,,,,,,,
Year,Country,Health Status,Sex,Age,IMD Decile,Count,Population,Age-specific Percentage,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Notes,,
2021,England,Very good,Male,35 to 39,8,"95,120","169,990",56,55.6,56.3,[z],,
2021,England,Very good,Male,40 to 44,8,"88,310","170,020",51.9,51.6,52.3,[z],,
2021,England,Very good,Male,45 to 49,8,"86,095","179,375",48,47.7,48.3,[z],,
2021,England,Very good,Male,50 to 54,8,"86,320","199,105",43.4,43.1,43.6,[z],,
2021,England,Very good,Male,55 to 59,8,"77,800","198,670",39.2,38.9,39.4,[z],,
2021,England,Very good,Male,60 to 64,8,"58,465","173,150",33.8,33.5,34,[z],,
2021,England,Very good,Male,65 to 69,8,"42,400","149,425",28.4,28.1,28.6,[z],,
2021,England,Very good,Male,70 to 74,8,"36,605","157,240",23.3,23,23.5,[z],,
2021,England,Very good,Male,75 to 79,8,"20,890","114,230",18.3,18,18.5,[z],,
2021,England,Very good,Male,80 to 84,8,"9,890","75,135",13.2,12.9,13.4,[z],,
2021,England,Very good,Male,85 to 89,8,"3,705","42,735",8.7,8.4,8.9,[z],,
2021,England,Very good,Male,90+,8,"1,185","19,495",6.1,5.7,6.4,[z],,
2021,England,Very good,Male,Under 1,9,"21,575","24,775",87.1,85.9,88.2,[z],,
2021,England,Very good,Male,1 to 4,9,"98,130","112,235",87.4,86.9,88,[z],,
2021,England,Very good,Male,5 to 9,9,"134,725","157,170",85.7,85.3,86.2,[z],,
2021,England,Very good,Male,10 to 14,9,"138,015","165,725",83.3,82.8,83.7,[z],,
2021,England,Very good,Male,15 to 19,9,"117,260","149,980",78.2,77.7,78.6,[z],,
2021,England,Very good,Male,20 to 24,9,"95,805","139,715",68.6,68.1,69,[z],,
2021,England,Very good,Male,25 to 29,9,"94,695","146,040",64.8,64.4,65.3,[z],,
2021,England,Very good,Male,30 to 34,9,"95,015","154,730",61.4,61,61.8,[z],,
2021,England,Very good,Male,35 to 39,9,"93,545","163,015",57.4,57,57.8,[z],,
2021,England,Very good,Male,40 to 44,9,"91,490","169,445",54,53.6,54.3,[z],,
2021,England,Very good,Male,45 to 49,9,"90,010","181,115",49.7,49.4,50,[z],,
2021,England,Very good,Male,50 to 54,9,"90,265","198,705",45.4,45.1,45.7,[z],,
2021,England,Very good,Male,55 to 59,9,"80,715","197,240",40.9,40.6,41.2,[z],,
2021,England,Very good,Male,60 to 64,9,"61,080","170,370",35.9,35.6,36.1,[z],,
2021,England,Very good,Male,65 to 69,9,"44,585","148,295",30.1,29.8,30.3,[z],,
2021,England,Very good,Male,70 to 74,9,"38,915","157,845",24.7,24.4,24.9,[z],,
2021,England,Very good,Male,75 to 79,9,"22,220","116,275",19.1,18.9,19.4,[z],,
2021,England,Very good,Male,80 to 84,9,"10,740","76,890",14,13.7,14.2,[z],,
2021,England,Very good,Male,85 to 89,9,"3,975","44,220",9,8.7,9.3,[z],,
2021,England,Very good,Male,90+,9,"1,300","20,165",6.4,6.1,6.8,[z],,
2021,England,Very good,Male,Under 1,10,"19,905","22,815",87.2,86,88.5,[z],,
2021,England,Very good,Male,1 to 4,10,"95,235","107,835",88.3,87.8,88.9,[z],,
2021,England,Very good,Male,5 to 9,10,"140,520","161,455",87,86.6,87.5,[z],,
2021,England,Very good,Male,10 to 14,10,"149,360","175,735",85,84.6,85.4,[z],,
2021,England,Very good,Male,15 to 19,10,"130,770","166,340",78.6,78.2,79,[z],,
2021,England,Very good,Male,20 to 24,10,"89,935","129,320",69.5,69.1,70,[z],,
2021,England,Very good,Male,25 to 29,10,"79,890","121,040",66,65.5,66.5,[z],,
2021,England,Very good,Male,30 to 34,10,"81,195","129,485",62.7,62.3,63.1,[z],,
2021,England,Very good,Male,35 to 39,10,"88,355","147,620",59.9,59.5,60.2,[z],,
2021,England,Very good,Male,40 to 44,10,"95,700","168,980",56.6,56.3,57,[z],,
2021,England,Very good,Male,45 to 49,10,"99,595","187,115",53.2,52.9,53.6,[z],,
2021,England,Very good,Male,50 to 54,10,"98,415","200,485",49.1,48.8,49.4,[z],,
2021,England,Very good,Male,55 to 59,10,"88,210","196,390",44.9,44.6,45.2,[z],,
2021,England,Very good,Male,60 to 64,10,"66,995","170,825",39.2,38.9,39.5,[z],,
2021,England,Very good,Male,65 to 69,10,"49,155","148,645",33.1,32.8,33.4,[z],,
2021,England,Very good,Male,70 to 74,10,"42,750","158,750",26.9,26.7,27.2,[z],,
2021,England,Very good,Male,75 to 79,10,"24,845","117,800",21.1,20.8,21.4,[z],,
2021,England,Very good,Male,80 to 84,10,"12,050","78,645",15.3,15,15.6,[z],,
2021,England,Very good,Male,85 to 89,10,"4,650","46,675",10,9.7,10.2,[z],,
2021,England,Very good,Male,90+,10,"1,445","21,815",6.6,6.3,7,[z],,
2021,England,Very good,Persons,Under 1,1,"61,615","75,430",81.7,81,82.3,[z],,
2021,England,Very good,Persons,1 to 4,1,"258,155","325,175",79.4,79.1,79.7,[z],,
2021,England,Very good,Persons,5 to 9,1,"326,745","429,055",76.2,75.9,76.4,[z],,
2021,England,Very good,Persons,10 to 14,1,"304,750","421,145",72.4,72.1,72.6,[z],,
2021,England,Very good,Persons,15 to 19,1,"241,295","375,890",64.2,63.9,64.4,[z],,
2021,England,Very good,Persons,20 to 24,1,"209,480","387,505",54.1,53.8,54.3,[z],,
2021,England,Very good,Persons,25 to 29,1,"205,600","415,150",49.5,49.3,49.7,[z],,
2021,England,Very good,Persons,30 to 34,1,"198,220","442,735",44.8,44.6,45,[z],,
2021,England,Very good,Persons,35 to 39,1,"162,425","408,850",39.7,39.5,39.9,[z],,
2021,England,Very good,Persons,40 to 44,1,"121,115","354,655",34.2,34,34.3,[z],,
2021,England,Very good,Persons,45 to 49,1,"94,885","337,730",28.1,27.9,28.3,[z],,
2021,England,Very good,Persons,50 to 54,1,"83,935","354,805",23.7,23.5,23.8,[z],,
2021,England,Very good,Persons,55 to 59,1,"65,375","329,415",19.8,19.7,20,[z],,
2021,England,Very good,Persons,60 to 64,1,"44,040","275,710",16,15.8,16.1,[z],,
2021,England,Very good,Persons,65 to 69,1,"28,510","217,285",13.1,13,13.3,[z],,
2021,England,Very good,Persons,70 to 74,1,"21,235","190,710",11.1,11,11.3,[z],,
2021,England,Very good,Persons,75 to 79,1,"11,240","129,575",8.7,8.5,8.8,[z],,
